domain,city,state/province,population
data.oaklandca.gov,Oakland,California,436504
data.mesaaz.gov,Mesa,Arizona,511648
data.cityofchicago.org,Chicago,Illinois,2664452
data.nola.gov,New Orleans,Louisiana,364136
data.winnipeg.ca,Winnipeg,Manitoba,749607
data.brla.gov,Baton Rouge,Louisiana,219573
data.sustainablesm.org,Santa Monica,California,89922
data.seattle.gov,Seattle,Washington,755078
data.roseville.ca.us,Roseville,California,159135
data.lacity.org,Los Angeles,California,3820914
data.providenceri.gov,Providence,Rhode Island,194706
data.everettwa.gov,Everett,Washington,111180
data.bloomington.in.gov,Bloomington,Indiana,78840
data.littlerock.gov,Little Rock,Arkansas,202591
data.richmondgov.com,Richmond,Virginia,229247
data.cityofberkeley.info,Berkeley,California,118962
data.norfolk.gov,Norfolk,Virginia,230930
data.cityoforlando.net,Orlando,Florida,320742
data.albanyny.gov,Albany,New York,121228
data.somervillema.gov,Somerville,Massachusetts,80407
data.weho.org,West Hollywood,California,35757
data.austintexas.gov,Austin,Texas,979882
data.cityofnewyork.us,New York,New York,8258035
data.auburnwa.gov,Auburn,Washington,83870
data.cambridgema.gov,Cambridge,Massachusetts,118214
data.honolulu.gov,Honolulu,Hawaii,341778
data.calgary.ca,Calgary,Alberta,1306784
data.edmonton.ca,Edmonton,Alberta,1010899
data.cityofgainesville.org,Gainesville,Florida,145812
data.kcmo.org,Kansas City,Missouri,510704
data.cincinnati-oh.gov,Cincinatti,Ohio,311097
data.buffalony.gov,Buffalo,New York,274678
data.memphistn.gov,Memphis,Tennessee,618639
data.readingpa.gov,Reading,Pennsylvania,94903
data.framinghamma.gov,Framingham,Massachusetts,71875
data.orcities.org,League of Oregon Cities,Oregon,3040472
data.stocktonca.gov,Stockton,California,318858
data.cstx.gov,College Station,Texas,125192
data.coloradosprings.gov,Colorado Springs,Colorado,488664
data.sfgov.org,San Francisco,California,808988
